ingredient,risk,function,side_effects
benzyl cinnamate,Safe,General,No known major side effects
ferulic acid,Moderate,Solvent/active,Possible irritation or dryness
ethyl ferulate,Safe,General,No known major side effects
octadecyl di-t-butyl-4-hydroxyhydrocinnamate,Safe,General,No known major side effects
peg-100 stearate,Moderate,Solvent/active,Possible irritation or dryness
peg-20 methyl glucose sesquistearate,Moderate,Solvent/active,Possible irritation or dryness
peg-20 stearate,Moderate,Solvent/active,Possible irritation or dryness
peg-20 glyceryl triisostearate,Moderate,Solvent/active,Possible irritation or dryness
peg-2 stearate,Moderate,Solvent/active,Possible irritation or dryness
peg-20 glyceryl stearate,Moderate,Solvent/active,Possible irritation or dryness
peg-20 glyceryl isostearate,Moderate,Solvent/active,Possible irritation or dryness
peg-2 stearate se,Moderate,Solvent/active,Possible irritation or dryness
peg-2 distearate,Moderate,Solvent/active,Possible irritation or dryness
tourmaline,Safe,General,No known major side effects
poloxamer 124,Safe,General,No known major side effects
poloxamer 184,Safe,General,No known major side effects
poloxamine 1307,Safe,General,No known major side effects
poloxamer 188,Safe,General,No known major side effects
poloxamer 182,Safe,General,No known major side effects
poloxamer 101,Safe,General,No known major side effects
poloxamer 123,Safe,General,No known major side effects
sodium cocoamphoacetate,Safe,General,No known major side effects
phytosteryl/behenyl/octyldodecyl lauroyl glutamate,Safe,General,No known major side effects
polyglyceryl-3 methylglucose distearate,Safe,General,No known major side effects
honey extract,Safe,Natural/conditioning,Generally safe
nylon-12,Safe,General,No known major side effects
niacinamide,Safe,General,No known major side effects
cocamide mea,Safe,General,No known major side effects
stearamidopropyl dimethylamine,Safe,General,No known major side effects
c10-18 triglycerides,Safe,General,No known major side effects
panthenyl ethyl ether,Safe,General,No known major side effects
ceramide 3,Safe,General,No known major side effects
cocamide mipa,Safe,General,No known major side effects
acetyl glucosamine,Safe,General,No known major side effects
ceramide 1,Safe,General,No known major side effects
stearamide amp,Safe,General,No known major side effects
nitrocellulose,Safe,General,No known major side effects
royal jelly extract,Safe,Natural/conditioning,Generally safe
tremella fuciformis sporocarp extract,Safe,Natural/conditioning,Generally safe
royal jelly,Safe,General,No known major side effects
hydrolyzed royal jelly protein,Safe,General,No known major side effects
10-hydroxydecanoic acid,Moderate,Solvent/active,Possible irritation or dryness
hyaluronic acid,Moderate,Solvent/active,Possible irritation or dryness
potassium hyaluronate,Safe,General,No known major side effects
dimethylsilanol hyaluronate,Safe,General,No known major side effects
isopropyl palmitate,Safe,General,No known major side effects
palmitamidopropyltrimonium chloride,Safe,General,No known major side effects
polyacrylate-13,Safe,General,No known major side effects
polyacrylate-14,Safe,General,No known major side effects
polyacrylate-15,Safe,General,No known major side effects
polyacrylate-17,Safe,General,No known major side effects
cyclodextrin,Safe,General,No known major side effects
hydroxypropyl cyclodextrin,Safe,General,No known major side effects
methyl cyclodextrin,Safe,General,No known major side effects
amylodextrin,Safe,General,No known major side effects
polyquaternium-10,Safe,General,No known major side effects
cellulose gum,Safe,General,No known major side effects
hydroxypropyl methylcellulose,Safe,General,No known major side effects
aminomethyl propanol,Safe,General,No known major side effects
aminomethyl propanediol,Safe,General,No known major side effects
acrylic acid/acrylamidomethyl propane sulfonic acid copolymer,Moderate,Solvent/active,Possible irritation or dryness
polyacrylamidomethylpropane sulfonic acid,Moderate,Solvent/active,Possible irritation or dryness
laureth-2,Safe,General,No known major side effects
sd alcohol 40,Moderate,Solvent/active,Possible irritation or dryness
arginine,Safe,General,No known major side effects
arginine pca,Safe,General,No known major side effects
arginine/lysine polypeptide,Safe,General,No known major side effects
arginine ferulate,Safe,General,No known major side effects
pca ethyl cocoyl arginate,Safe,General,No known major side effects
lauroyl arginine,Safe,General,No known major side effects
acetyl citrull amido arginine,Safe,General,No known major side effects
dihydroxypropyl arginine hcl,Safe,General,No known major side effects
leuconostoc/radish root ferment filtrate,Safe,General,No known major side effects
polylactic acid,Moderate,Solvent/active,Possible irritation or dryness
sodium ascorbyl phosphate,Safe,General,No known major side effects
potassium benzoate,Safe,General,No known major side effects
sodium bicarbonate,Safe,General,No known major side effects
sodium polyacrylate,Safe,General,No known major side effects
sodium carbonate,Safe,General,No known major side effects
sodium sesquicarbonate,Safe,General,No known major side effects
sodium carbonate peroxide,Safe,General,No known major side effects
ammonium carbonate,Safe,General,No known major side effects
ammonium bicarbonate,Safe,General,No known major side effects
triethylhexanoin,Safe,General,No known major side effects
trimethylolpropane triethylhexanoate,Safe,General,No known major side effects
kaolin,Safe,General,No known major side effects
aluminum silicate,Safe,General,No known major side effects
ceteareth-33,Safe,General,No known major side effects
ceteareth-6,Safe,General,No known major side effects
ceteareth-60,Safe,General,No known major side effects
ceteareth-23,Safe,General,No known major side effects
steareth-100/peg-136/hdi copolymer,Moderate,Solvent/active,Possible irritation or dryness
steareth-30,Safe,General,No known major side effects
zinc gluconate,Safe,General,No known major side effects
sodium cocoyl glycinate,Safe,General,No known major side effects
sodium bis-hydroxyethylglycinate coco-glucosides crosspolymer,Safe,General,No known major side effects
aluminum glycinate,Safe,General,No known major side effects
zinc glycinate,Safe,General,No known major side effects
bisabolol,Safe,General,No known major side effects
myrtrimonium bromide,Safe,General,No known major side effects
steartrimonium bromide,Safe,General,No known major side effects
polyglyceryl-10 laurate,Safe,General,No known major side effects
polyglyceryl-4 laurate,Safe,General,No known major side effects
polyglyceryl-3 laurate,Safe,General,No known major side effects
polyglyceryl-4 laurate/succinate,Safe,General,No known major side effects
polyglyceryl-5 laurate,Safe,General,No known major side effects
polyglyceryl-6 laurate,Safe,General,No known major side effects
peg-20 glyceryl laurate,Moderate,Solvent/active,Possible irritation or dryness
polyglyceryl-6 dicaprate,Safe,General,No known major side effects
trilaurin,Safe,General,No known major side effects
pyridoxine hcl,Safe,General,No known major side effects
pyridoxine,Safe,General,No known major side effects
methyl nicotinate,Safe,General,No known major side effects
tocopheryl nicotinate,Safe,General,No known major side effects
benzyl nicotinate,Safe,General,No known major side effects
pyridoxine dipalmitate,Safe,General,No known major side effects
ethyl nicotinate,Safe,General,No known major side effects
disodium nadh,Safe,General,No known major side effects
pyridoxal 5-phosphate,Safe,General,No known major side effects
saccharomyces/rice ferment filtrate,Safe,General,No known major side effects
saccharomyces ferment lysate filtrate,Safe,General,No known major side effects
saccharomyces/barley seed ferment filtrate,Safe,General,No known major side effects
saccharomyces/lithospermum erythrorhizon root oil ferment filtrate,Safe,Natural/conditioning,Generally safe
schizosaccharomyces ferment filtrate,Safe,General,No known major side effects
saccharomyces/potato extract ferment filtrate,Safe,Natural/conditioning,Generally safe
saccharomyces/podophyllum peltatum ferment filtrate,Safe,General,No known major side effects
bifida ferment lysate,Safe,General,No known major side effects
bifida ferment filtrate,Safe,General,No known major side effects
ulmus davidiana root extract,Safe,Natural/conditioning,Generally safe
cassia alata leaf extract,Safe,Natural/conditioning,Generally safe
adipic acid/neopentyl glycol/trimellitic anhydride copolymer,Moderate,Solvent/active,Possible irritation or dryness
neopentyl glycol diheptanoate,Moderate,Solvent/active,Possible irritation or dryness
phthalic anhydride/trimellitic anhydride/glycols copolymer,Moderate,Solvent/active,Possible irritation or dryness
adipic acid/neopentyl glycol crosspolymer,Moderate,Solvent/active,Possible irritation or dryness
neopentyl glycol,Moderate,Solvent/active,Possible irritation or dryness
polyurethane-2,Safe,General,No known major side effects
neopentyl glycol dicaprate,Moderate,Solvent/active,Possible irritation or dryness
hydrolyzed corn starch,Safe,General,No known major side effects
hydroxypropyltrimonium hydrolyzed corn starch,Safe,General,No known major side effects
hydrolyzed corn starch octenylsuccinate,Safe,General,No known major side effects
hydrolyzed corn starch hydroxyethyl ether,Safe,General,No known major side effects
raffinose,Safe,General,No known major side effects
"1,2-hexanediol",Safe,General,No known major side effects
"2-oleamido-1,3-octadecanediol",Safe,General,No known major side effects
adipic acid,Moderate,Solvent/active,Possible irritation or dryness
ceramide 2,Safe,General,No known major side effects
nylon-6,Safe,General,No known major side effects
peg-400,Moderate,Solvent/active,Possible irritation or dryness
decylene glycol,Moderate,Solvent/active,Possible irritation or dryness
ethyl hexanediol,Safe,General,No known major side effects
nylon-66,Safe,General,No known major side effects
potassium sorbate,Safe,General,No known major side effects
potassium castorate,Safe,General,No known major side effects
caprylic/capric/stearic triglyceride,Safe,General,No known major side effects
caprylic/capric/succinic triglyceride,Safe,General,No known major side effects
caprylic/capric/linoleic triglyceride,Safe,General,No known major side effects
caprylic/capric/lauric triglyceride,Safe,General,No known major side effects
quaternium-90 bentonite,Safe,General,No known major side effects
bentonite,Safe,General,No known major side effects
montmorillonite,Safe,General,No known major side effects
canadian colloidal clay,Safe,General,No known major side effects
pseudozyma epicola/argania spinosa kernel oil ferment filtrate,Safe,Natural/conditioning,Generally safe
